,Name,Phone Number,Address,Price range,Facility,1st Review,Ratings,Review Count,Food Category
30,Nicoletti’s Ristorante,(636) 225-4222,1366 Big Bend Rd,$$,[],"“A consistently good local, family-owned restaurant. I have dined here over the years maybe 20-30 times. I have enjoyed it greatly each time. The atmosphere is…” more",3.5 star rating,75,[]
31,Smokee Mo’s St Louis BBQ,(636) 220-1227,110 Old Meramec Station Rd,Not Specified,['Outdoor dining'],“The customer service and the food are incredible. My son is vegan and they have a ton of options that are all really good. The non vegan food is also very…” more,3.5 star rating,72,[]
32,Shack Breakfast & Lunch,(636) 220-9367,14810 Clayton Rd,$$,['Current wait time: 0 mins'],"“We are from South Carolina where Shrimp & Grits are considered sacred.  The Shack's S&G were better than anything I've had in SC the past 10 years!
Great…” more",4.5 star rating,219,[]
33,Chick-N-Elly’s,(636) 938-6705,122A S Central Ave,$,['Outdoor dining'],“We are new to the area and stopped in after looking at the construction of our new house.   We were there for breakfast and the waitress was friendly and so…” more,4 star rating,59,[]
34,The Corner Pub and Grill,(636) 225-1300,13645 Big Bend Rd,$$,['Indoor & Outdoor dining'],"“Great family friendly eatery! They have a TRUE GF menu for a family member who has celiac disease, which makes it easy for them to eat at the CPG.
Also a great…” more",3.5 star rating,208,[]
35,Sweetie Cup Thai Cafe,(636) 529-8690,2961 Dougherty Ferry Rd,Not Specified,['Delivery'],"“Their Chicken Pad Thai and Crispy Egg Rolls were fresh, hot, and delicious. Everything's made with fresh ingredients and good flavor! I personally don't like a…” more",4.5 star rating,62,[]
36,Dogwood Social House,(636) 323-4227,15682 Manchester Rd,Not Specified,['Indoor dining'],"“Incredible place to watch a game. HUGE screens, decent apps, and a good selection of drinks. 

The ""impossible burger"" was a typical black bean and rice patty.…” more",2.5 star rating,31,[]
37,The Stellar Hog,(636) 778-9204,40 Clarkson Wilson Ctr,Not Specified,[],"“Great experience at Stellar Hog today.  If they are consistently this good, it will be our new favorite West St. Louis County BBQ go-to restaurant.  We shared…” more",4.5 star rating,35,[]
38,Monsoon Vietnamese Bistro,Not Specified,Not Specified,Not Specified,['Indoor dining'],"“This place is one of those rare, shopping mall, STL finds. It is tucked away and not easy to notice unless it is recommended to you. 

I just can't believe how…” more",4 star rating,174,['Vietnamese']
39,Hangar Kitchen Plus Bar,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],“Hangar was a fun experience on a Friday night for my husband and I.  We made a 6pm reservations so we didn't have to wait.  It was a busy night with people…” more,4 star rating,62,"['Tacos', 'Sushi Bars', 'Cocktail Bars']"
40,Manee Thai Restaurant,Not Specified,Not Specified,Not Specified,['Outdoor dining'],“Chicken pad Thai is my favorite for sure. Pad Thai and Thai Sukiyaki are the things I recommend to everyone ordering from here.” more,4 star rating,177,['Thai']
41,St. Louis Kolache,Not Specified,Not Specified,Not Specified,['Delivery'],"“First of all,  they took my order over the phone, on-line ordering wasn't working.
Their park lot was tiny, rv was too big, no turnaround.no place to park..…” more",4.5 star rating,65,"['Desserts', 'Breakfast & Brunch', 'Bakeries']"
42,EdgeWild Restaurant & Winery,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],"“Wife, and I second visit to this establishment. If you love scallops, you must order their Seared Scallops-comes with Herbed Risotto Cake, Poblano Puree, Corn…” more",4 star rating,474,"['Wineries', 'Steakhouses', 'Seafood']"
43,Uncle Bill’s Pancake & Dinner House,Not Specified,Not Specified,Not Specified,['Indoor dining'],"“My go-to place for breakfast!  This is a super, local, coffee shop!  Plenty of regulars, as I watch the waitstaff address other customers by name.  The type of…” more",3.5 star rating,189,"['Breakfast & Brunch', 'Diners', 'American (New)']"
44,Texas Roadhouse,Not Specified,Not Specified,Not Specified,['Sit-down dining'],"“Service is always good for us at this location, and the food is what you'd expect from any of the restaurants in this chain.  The rolls and honey cinnamon…” more",3.5 star rating,70,['Steakhouses']
45,The Crafty Chameleon Bar,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],"“This is my go-to favorite local place for great beer, great food and great conversation! The staff is amazing. If you visit more than once, they are sure to…” more",4.5 star rating,57,"['Bars', 'Pizza']"
46,Nippon Tei,Not Specified,Not Specified,Not Specified,['Takeout'],"“-----


Concise Review

- Finally both are combined - Ramen Tei & Nippon Tei... YES!!!


-----


Longer Review

We've enjoyed Nippon Tei's sushi for years, and…” more",4 star rating,236,"['Japanese', 'Asian Fusion', 'Sushi Bars']"
47,TJ’s Wings,Not Specified,Not Specified,Not Specified,[],“Love wings so much! They have the best hot and honey wings ever. The staff is always friendly and fast!” more,3 star rating,104,"['Chicken Wings', 'Venues & Event Spaces', 'American (Traditional)']"
